target_id,candidate_family,positive_family,label,title_alias_score,server_alias_score,nmap_alias_score,body_alias_score,evidence_alias_score,port_score,protocol_score,http_tool_score,scan_depth_score,heuristic_score
aria2_rce,solr,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,spring,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,struts2,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,thinkphp,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,tomcat,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,webmin,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
couchdb_CVE-2017-12635,adminer,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,appweb,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,aria2,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
couchdb_CVE-2017-12635,couchdb,couchdb,positive_family_match,0.0,1.0,0.0,1.0,1.0,1.0,0.25,0.15,0.1,6.500000000000001
couchdb_CVE-2017-12635,druid,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,drupal,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,elasticsearch,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,flask,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,goahead,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,gogs,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,grafana,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,jenkins,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,jetty,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,joomla,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,nextjs,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,nexus,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,nginx,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,phpmyadmin,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,rails,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,redis,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
couchdb_CVE-2017-12635,shiro,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,solr,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,spring,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,struts2,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,thinkphp,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
